,threshold,experiment
0,116.0,control
1,123.5,control
2,122.5,control
3,122.0,control
4,121.5,control
5,121.0,control
6,120.5,control
7,120.0,control
8,119.50000000000001,control
9,119.00000000000001,control
10,454.0,somatic
11,393.0,somatic
12,311.5,somatic
13,395.0,somatic
14,335.5,somatic
15,384.5,somatic
16,386.5,somatic
17,424.0,somatic
18,450.5,somatic
19,385.0,somatic
20,246.5,dendritic
21,271.5,dendritic
22,269.0,dendritic
23,294.0,dendritic
24,262.5,dendritic
25,277.0,dendritic
26,259.0,dendritic
27,288.5,dendritic
28,290.5,dendritic
29,249.5,dendritic
